Id,SalePrice
1461,135755.2656
1462,178513.9375
1463,206481.5156
1464,209532.3281
1465,185799.9531
1466,191205.8594
1467,170261.0469
1468,171806.4219
1469,180694.5
1470,137480.6406
1471,162825.8438
1472,104101.1016
1473,104429.5859
1474,124759.4766
1475,114368.8516
1476,390914.875
1477,265956.3125
1478,277163.6875
1479,288348.375
1480,511207.875
1481,314450.3125
1482,206217.5156
1483,189896.1719
1484,161467.75
1485,192270.5156
1486,202814.5156
1487,331108.0625
1488,231362.7031
1489,224697.3594
1490,256556.2344
1491,203658.4531
1492,91191.04688
1493,163422.8906
1494,295856.875
1495,269677.4375
1496,268514.1875
1497,172464.0156
1498,163165.3438
1499,156004.9688
1500,171408.0469
1501,174378.7188
1502,158793.0156
1503,167637.5938
1504,244126.8281
1505,237672.3594
1506,206570.8594
1507,280062
1508,204409.4531
1509,159005.5469
1510,155879.3594
1511,139055.5469
1512,159697.4219
1513,122859.3984
1514,133864.1094
1515,198173.3281
1516,155322.5469
1517,145170.1094
1518,135326.1719
1519,233096.7031
1520,125772.9531
1521,139846.3125
1522,176986.25
1523,117075.8516
1524,124281.8984
1525,121423.4609
1526,106474.1641
1527,96319.99219
1528,111690.6641
1529,154002.6406
1530,203395.6563
1531,138205.4063
1532,81521.39844
1533,132646.8438
1534,110273.5313
1535,149448.4688
1536,109541.3047
1537,68911.02344
1538,149056.3594
1539,205714.7344
1540,94031.13281
1541,140951.2813
1542,128741.1875
1543,188427.1094
1544,99923.77344
1545,116032.0078
1546,137898.1406
1547,146109.5156
1548,140396.1563
1549,107799.1875
1550,141863.2969
1551,95139.19531
1552,163684.1094
1553,137887.3281
1554,136515.6406
1555,166338.0469
1556,81142.39063
1557,120797.375
1558,101607.5938
1559,68649.14844
1560,120641.0547
1561,96198.51563
1562,133303.4375
1563,114944.0234
1564,143021.5469
1565,143890.9688
1566,220997.9531
1567,78563.07031
1568,228090.5313
1569,136088.3906
1570,133159.0469
1571,112669.8203
1572,144201.8125
1573,219810.4375
1574,102274.2266
1575,215863.2031
1576,224374.2656
1577,190257.3125
1578,138234.3125
1579,155540.4219
1580,191097.1406
1581,158467.0781
1582,132610.8125
1583,300373.5313
1584,228128.8281
1585,146508.7344
1586,79303.39844
1587,70249.16406
1588,135893.0781
1589,89896.11719
1590,139152.6406
1591,117801.0234
1592,87976.92188
1593,111583.0859
1594,51607.58984
1595,102272.4922
1596,249279.4844
1597,192674.5781
1598,223326.4375
1599,108171.3594
1600,96349.58594
1601,70554.96094
1602,143312.0469
1603,55501.89844
1604,279639.375
1605,229647.9219
1606,149492.1875
1607,146458.7188
1608,197524.7969
1609,187227.8125
1610,160306.2031
1611,119392
1612,180049
1613,161297.9375
1614,113082.8828
1615,92437.94531
1616,81693.02344
1617,84907.30469
1618,109458.8516
1619,157167.5313
1620,45696.88281
1621,131578.25
1622,130584.9531
1623,251184.9531
1624,214268.3594
1625,112918.1484
1626,164553.9219
1627,193783.3281
1628,305031.3125
1629,184875.875
1630,395753.9375
1631,262236.375
1632,247472.6094
1633,165905.3906
1634,187458.5938
1635,186075.8281
1636,153564.9844
1637,191070.4844
1638,190987.2969
1639,188846.3594
1640,241411.5781
1641,184228.5156
1642,268134.0938
1643,238641.8906
1644,221054.9844
1645,235961.1094
1646,157741.8906
1647,159290.1406
1648,126744.7266
1649,146821.7344
1650,122182.7891
1651,115116.7422
1652,103162.2109
1653,102154.1563
1654,126900.8281
1655,130942.6016
1656,138420.4688
1657,141868.5781
1658,134849.6563
1659,112003.5234
1660,137850.1719
1661,416931.6875
1662,379821.2813
1663,363833.125
1664,237839.0781
1665,303051.625
1666,317105.1875
1667,355923.4375
1668,376516.4375
1669,293281.9375
1670,335114.375
1671,266231.8125
1672,448222.6875
1673,304184.7188
1674,247781.4844
1675,191599.1719
1676,219808.6875
1677,220141.2813
1678,487165.6875
1679,416311.625
1680,335254.125
1681,247420.1719
1682,328296.9063
1683,197879.1406
1684,180006.5469
1685,177565.5313
1686,168449.9063
1687,154836.3438
1688,199666.7344
1689,200462.5313
1690,202977.2656
1691,188501.7031
1692,262619.0938
1693,169455.4688
1694,193090.7656
1695,169704.5469
1696,266220.9375
1697,169580.8906
1698,351708.5313
1699,320231.5625
1700,274654.7188
1701,253029.8594
1702,247256.1719
1703,248878.6406
1704,292870.1563
1705,244036.125
1706,281915.0938
1707,259131.5938
1708,213252.5313
1709,268581.5938
1710,229700.6094
1711,262056.7656
1712,255135.1875
1713,294509.9375
1714,217097.7656
1715,220611.3594
